,GAME,DATE,AGE,TEAM,OPP,RESULT,MP,FG,FGA,FGP,THREE,THREEATT,THREEP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,GAME_SCORE,MINUS_PLUS
490,19,2009-12-04,24.339,CLE,CHI,W,34.12,8,17,0.471,1,3,0.333,6,10,0.6,0,6,6,11,0,0,1,23,20.8,19
491,20,2009-12-06,24.341,CLE,MIL,W,32.18,4,10,0.4,0,0,,6,7,0.857,1,4,5,10,1,1,5,14,13.0,8
492,21,2009-12-08,24.343,CLE,MEM,L,44.47,14,29,0.483,4,11,0.364,11,12,0.917,4,9,13,6,0,1,5,43,32.5,6
493,22,2009-12-09,24.344,CLE,HOU,L,39.4,8,21,0.381,2,4,0.5,9,10,0.9,1,5,6,7,1,1,5,27,18.1,-13
494,23,2009-12-11,24.346,CLE,POR,W,37.36,14,24,0.583,1,2,0.5,4,6,0.667,1,6,7,7,1,2,4,33,26.4,8
495,24,2009-12-13,24.348,CLE,OKC,W,38.35,16,29,0.552,5,8,0.625,7,10,0.7,0,7,7,6,4,1,1,44,38.5,13
496,25,2009-12-15,24.35,CLE,NJN,W,40.28,9,19,0.474,1,5,0.2,4,6,0.667,1,5,6,7,2,0,6,23,14.4,7
497,26,2009-12-16,24.351,CLE,PHI,W,40.17,12,26,0.462,3,6,0.5,9,11,0.818,1,5,6,7,3,1,3,36,28.8,10
498,27,2009-12-18,24.353,CLE,MIL,W,38.22,6,13,0.462,2,4,0.5,12,14,0.857,1,9,10,8,0,3,6,26,23.2,3
499,28,2009-12-20,24.355,CLE,DAL,L,43.05,9,23,0.391,2,6,0.333,5,7,0.714,0,3,3,6,2,2,2,25,17.0,-5
500,29,2009-12-21,24.356,CLE,PHO,W,38.26,11,21,0.524,1,3,0.333,6,6,1.0,1,5,6,4,2,0,3,29,21.5,26
501,30,2009-12-23,24.358,CLE,SAC,W,43.41,14,30,0.467,1,4,0.25,5,7,0.714,4,12,16,10,0,0,2,34,28.8,26
502,31,2009-12-25,24.36,CLE,LAL,W,40.44,9,19,0.474,2,7,0.286,6,11,0.545,0,4,4,9,2,1,7,26,16.3,8
503,32,2009-12-27,24.362,CLE,HOU,W,29.26,12,20,0.6,2,5,0.4,3,4,0.75,2,3,5,6,3,1,1,29,28.6,16
504,33,2009-12-29,24.364,CLE,ATL,W,39.36,6,20,0.3,0,5,0.0,2,3,0.667,1,7,8,10,5,1,4,14,12.7,6
505,34,2009-12-30,25.0,CLE,ATL,W,43.12,15,23,0.652,4,6,0.667,14,16,0.875,3,7,10,6,2,2,3,48,44.7,7
506,35,2010-01-02,25.003,CLE,NJN,W,36.27,7,16,0.438,1,4,0.25,13,15,0.867,1,8,9,7,1,2,1,28,28.2,10
507,36,2010-01-03,25.004,CLE,CHA,L,42.51,13,21,0.619,2,6,0.333,1,2,0.5,0,7,7,6,1,1,1,29,24.9,-2
508,37,2010-01-06,25.007,CLE,WAS,W,30.5,7,12,0.583,1,4,0.25,8,11,0.727,2,5,7,8,1,2,1,23,26.1,16
509,38,2010-01-08,25.009,CLE,DEN,L,41.18,12,28,0.429,2,8,0.25,9,13,0.692,2,4,6,7,1,0,8,35,18.7,6
510,39,2010-01-10,25.011,CLE,POR,W,45.16,13,19,0.684,3,4,0.75,12,14,0.857,0,10,10,8,0,1,3,41,38.0,16
511,40,2010-01-11,25.012,CLE,GSW,W,41.37,12,23,0.522,1,4,0.25,12,14,0.857,1,7,8,11,2,4,2,37,37.8,12
512,41,2010-01-14,25.015,CLE,UTA,L,40.25,12,20,0.6,4,6,0.667,8,12,0.667,1,8,9,6,5,1,5,36,32.8,7
513,42,2010-01-16,25.017,CLE,LAC,W,38.54,12,20,0.6,3,6,0.5,5,7,0.714,2,2,4,4,2,1,5,32,23.3,-1
514,43,2010-01-19,25.02,CLE,TOR,W,41.01,8,18,0.444,0,7,0.0,12,14,0.857,0,9,9,11,3,3,3,28,29.9,12
515,44,2010-01-21,25.022,CLE,LAL,W,40.24,13,25,0.52,1,9,0.111,10,13,0.769,0,5,5,9,2,1,4,37,28.8,5
516,45,2010-01-23,25.024,CLE,OKC,W,42.38,9,19,0.474,6,10,0.6,13,19,0.684,0,9,9,12,1,1,6,37,30.9,-1
517,46,2010-01-25,25.026,CLE,MIA,W,38.31,9,23,0.391,2,9,0.222,12,17,0.706,0,9,9,4,1,0,4,32,18.8,1
518,47,2010-01-27,25.028,CLE,MIN,W,30.33,3,8,0.375,1,3,0.333,5,6,0.833,0,6,6,11,1,1,3,12,15.0,16
519,48,2010-01-29,25.03,CLE,IND,W,35.39,6,18,0.333,0,4,0.0,10,17,0.588,0,9,9,13,2,4,5,22,19.8,22
520,49,2010-01-31,25.032,CLE,LAC,W,39.55,10,20,0.5,5,6,0.833,7,8,0.875,1,2,3,11,1,0,1,32,30.2,15
521,50,2010-02-02,25.034,CLE,MEM,W,37.07,7,14,0.5,1,4,0.25,7,7,1.0,1,5,6,15,1,1,4,22,24.6,19
522,51,2010-02-04,25.036,CLE,MIA,W,40.06,9,16,0.563,1,4,0.25,17,21,0.81,2,5,7,8,2,0,4,36,32.9,20
523,52,2010-02-06,25.038,CLE,NYK,W,43.51,17,31,0.548,6,12,0.5,7,7,1.0,1,7,8,8,5,0,5,47,39.7,4
524,53,2010-02-09,25.041,CLE,NJN,W,42.21,13,21,0.619,1,4,0.25,5,9,0.556,0,3,3,11,1,0,3,32,27.5,-2
525,54,2010-02-11,25.043,CLE,ORL,W,45.05,10,21,0.476,2,6,0.333,10,12,0.833,1,7,8,13,2,0,3,32,30.6,16
526,55,2010-02-18,25.05,CLE,DEN,L,47.0,15,33,0.455,1,9,0.111,12,17,0.706,1,12,13,15,2,4,3,43,40.1,-5
527,56,2010-02-19,25.051,CLE,CHA,L,35.3,6,14,0.429,2,6,0.333,8,10,0.8,1,2,3,9,4,0,2,22,22.6,-2
528,57,2010-02-21,25.053,CLE,ORL,L,39.23,12,25,0.48,1,6,0.167,8,12,0.667,0,9,9,6,2,1,5,33,23.3,-9
529,58,2010-02-23,25.055,CLE,NOH,W,44.07,7,16,0.438,2,6,0.333,4,4,1.0,1,4,5,13,2,0,0,20,24.6,17
530,59,2010-02-25,25.057,CLE,BOS,W,35.57,11,23,0.478,3,6,0.5,11,15,0.733,1,6,7,9,0,0,2,36,28.7,9
531,60,2010-02-26,25.058,CLE,TOR,W,44.24,10,17,0.588,1,4,0.25,15,16,0.938,0,6,6,9,2,0,1,36,36.0,8
532,61,2010-03-01,25.061,CLE,NYK,W,31.14,9,17,0.529,1,4,0.25,3,5,0.6,0,7,7,7,2,2,3,22,20.3,39
533,62,2010-03-03,25.063,CLE,NJN,W,40.41,10,18,0.556,0,4,0.0,6,7,0.857,2,5,7,14,3,1,3,26,30.0,18
534,63,2010-03-05,25.065,CLE,DET,W,41.52,16,27,0.593,3,7,0.429,5,6,0.833,2,11,13,6,3,2,4,40,36.0,12
535,64,2010-03-12,25.072,CLE,PHI,W,42.06,7,18,0.389,3,10,0.3,6,12,0.5,0,6,6,10,1,3,1,23,20.9,2
536,65,2010-03-14,25.074,CLE,BOS,W,38.52,9,21,0.429,1,3,0.333,11,16,0.688,3,5,8,7,2,3,2,30,26.7,3
537,66,2010-03-16,25.076,CLE,DET,W,43.07,10,22,0.455,1,3,0.333,8,11,0.727,2,10,12,12,1,1,4,29,26.9,13
538,67,2010-03-17,25.077,CLE,IND,W,38.43,11,24,0.458,2,4,0.5,8,10,0.8,1,8,9,9,3,2,6,32,25.8,14
539,68,2010-03-19,25.079,CLE,CHI,W,37.31,9,21,0.429,0,3,0.0,11,12,0.917,1,10,11,7,2,2,5,29,24.1,5
540,69,2010-03-21,25.081,CLE,DET,W,30.48,5,9,0.556,2,3,0.667,3,3,1.0,0,3,3,7,0,1,0,15,17.2,17
541,70,2010-03-24,25.084,CLE,NOH,W,40.45,15,22,0.682,1,5,0.2,7,8,0.875,2,4,6,9,1,0,3,38,34.3,9
542,71,2010-03-26,25.086,CLE,SAS,L,39.18,11,21,0.524,1,6,0.167,4,7,0.571,0,5,5,10,2,0,5,27,20.2,-5
543,72,2010-03-28,25.088,CLE,SAC,W,39.05,13,22,0.591,3,6,0.5,5,6,0.833,1,6,7,8,3,0,3,34,30.7,8
544,73,2010-03-31,25.091,CLE,MIL,W,39.05,7,17,0.412,0,1,0.0,9,13,0.692,1,8,9,7,1,1,4,23,17.2,10
545,74,2010-04-02,25.093,CLE,ATL,W,38.22,11,20,0.55,1,3,0.333,4,7,0.571,0,13,13,6,2,0,2,27,23.9,11
546,75,2010-04-04,25.095,CLE,BOS,L,44.32,14,31,0.452,0,9,0.0,14,22,0.636,1,6,7,9,1,1,3,42,30.2,-1
547,76,2010-04-06,25.097,CLE,TOR,W,35.34,5,13,0.385,0,2,0.0,9,10,0.9,0,6,6,13,0,1,4,19,18.7,19
548,1,2010-10-26,25.3,MIA,BOS,L,42.39,10,21,0.476,3,6,0.5,8,12,0.667,0,4,4,3,1,2,8,31,16.0,1
549,2,2010-10-27,25.301,MIA,PHI,W,37.33,5,12,0.417,0,2,0.0,6,6,1.0,0,6,6,7,2,1,9,16,9.6,6
550,3,2010-10-29,25.303,MIA,ORL,W,30.02,6,13,0.462,2,3,0.667,1,2,0.5,0,6,6,7,0,0,3,15,10.0,13
551,4,2010-10-31,25.305,MIA,NJN,W,28.57,5,12,0.417,0,4,0.0,10,12,0.833,0,7,7,7,2,0,5,20,15.6,18
552,5,2010-11-02,25.307,MIA,MIN,W,32.26,7,12,0.583,0,2,0.0,6,8,0.75,0,0,0,12,2,1,1,20,23.7,32
553,6,2010-11-05,25.31,MIA,NOH,L,41.12,6,16,0.375,1,2,0.5,7,8,0.875,0,7,7,10,3,1,3,20,20.6,-6
554,7,2010-11-06,25.311,MIA,NJN,W,33.35,9,16,0.563,2,4,0.5,3,5,0.6,0,3,3,9,2,0,4,23,19.4,11
555,8,2010-11-09,25.314,MIA,UTA,L,46.44,5,18,0.278,0,1,0.0,10,11,0.909,2,9,11,14,1,3,2,20,22.8,4
556,9,2010-11-11,25.316,MIA,BOS,L,44.28,9,21,0.429,0,5,0.0,17,22,0.773,0,10,10,9,3,0,4,35,29.0,0
557,10,2010-11-13,25.318,MIA,TOR,W,39.2,8,21,0.381,0,1,0.0,7,11,0.636,1,1,2,11,2,0,3,23,17.6,11
558,11,2010-11-17,25.322,MIA,PHO,W,23.03,9,15,0.6,0,2,0.0,2,3,0.667,3,5,8,9,3,0,3,20,20.6,24
559,12,2010-11-19,25.324,MIA,CHA,W,39.29,12,25,0.48,2,5,0.4,6,7,0.857,0,2,2,5,2,0,4,32,20.6,4
560,13,2010-11-20,25.325,MIA,MEM,L,42.06,11,23,0.478,2,4,0.5,5,6,0.833,0,3,3,11,1,0,4,29,21.7,-1
561,14,2010-11-22,25.327,MIA,IND,L,41.34,6,14,0.429,2,8,0.25,11,15,0.733,0,5,5,6,1,0,6,25,15.5,-1
562,15,2010-11-24,25.329,MIA,ORL,L,40.44,9,18,0.5,1,3,0.333,6,8,0.75,1,5,6,4,1,0,3,25,17.0,-15
563,16,2010-11-26,25.331,MIA,PHI,W,40.34,5,15,0.333,1,5,0.2,9,11,0.818,1,7,8,6,2,1,2,20,18.0,11
564,17,2010-11-27,25.332,MIA,DAL,L,36.04,5,19,0.263,0,4,0.0,13,15,0.867,2,6,8,4,1,0,5,23,11.7,-14
565,18,2010-11-29,25.334,MIA,WAS,W,38.11,10,18,0.556,1,1,1.0,9,11,0.818,1,5,6,5,1,1,7,30,19.8,3
566,19,2010-12-01,25.336,MIA,DET,W,31.14,8,15,0.533,1,1,1.0,1,2,0.5,2,4,6,3,1,0,4,18,12.0,17
567,20,2010-12-02,25.337,MIA,CLE,W,30.02,15,25,0.6,2,7,0.286,6,9,0.667,0,5,5,8,1,1,0,38,33.7,26
568,21,2010-12-04,25.339,MIA,ATL,W,37.19,5,11,0.455,1,1,1.0,11,13,0.846,0,7,7,4,1,1,2,22,19.7,7
569,22,2010-12-06,25.341,MIA,MIL,W,38.41,7,16,0.438,1,3,0.333,2,4,0.5,0,6,6,6,1,1,1,17,12.5,17
570,23,2010-12-08,25.343,MIA,UTA,W,39.26,12,20,0.6,3,5,0.6,6,7,0.857,1,6,7,9,0,0,2,33,28.6,0
571,24,2010-12-10,25.345,MIA,GSW,W,30.43,10,18,0.556,3,4,0.75,2,3,0.667,0,7,7,9,1,1,4,25,21.7,22
572,25,2010-12-11,25.346,MIA,SAC,W,35.11,10,19,0.526,2,3,0.667,3,5,0.6,1,9,10,3,2,0,3,25,19.0,15
573,26,2010-12-13,25.348,MIA,NOH,W,40.18,6,16,0.375,0,3,0.0,8,10,0.8,1,3,4,7,0,0,5,20,11.1,11
574,27,2010-12-15,25.35,MIA,CLE,W,38.31,5,15,0.333,0,4,0.0,11,18,0.611,2,11,13,5,1,0,4,21,14.5,0
575,28,2010-12-17,25.352,MIA,NYK,W,38.13,14,23,0.609,3,6,0.5,1,3,0.333,1,10,11,10,1,0,5,32,27.0,31
576,29,2010-12-18,25.353,MIA,WAS,W,40.31,9,19,0.474,3,7,0.429,11,12,0.917,1,6,7,6,1,0,4,32,24.4,6
577,30,2010-12-20,25.355,MIA,DAL,L,36.05,6,17,0.353,2,4,0.5,5,7,0.714,3,7,10,7,0,0,5,19,11.2,-20
578,31,2010-12-23,25.358,MIA,PHO,W,37.23,13,22,0.591,2,5,0.4,8,8,1.0,1,5,6,4,3,0,5,36,26.8,4
579,32,2010-12-25,25.36,MIA,LAL,W,38.11,8,14,0.571,5,6,0.833,6,6,1.0,1,10,11,10,4,0,1,27,33.3,15
580,33,2010-12-28,25.363,MIA,NYK,W,40.25,8,17,0.471,1,2,0.5,1,3,0.333,0,10,10,8,0,0,3,18,12.9,17
581,34,2010-12-29,25.364,MIA,HOU,W,39.09,8,15,0.533,0,4,0.0,4,4,1.0,0,6,6,9,1,0,3,20,17.6,16
582,35,2011-01-01,26.002,MIA,GSW,W,41.31,7,15,0.467,0,3,0.0,11,17,0.647,2,5,7,10,1,1,3,25,23.1,6
583,36,2011-01-03,26.004,MIA,CHA,W,36.34,15,26,0.577,2,4,0.5,6,6,1.0,0,9,9,5,1,0,3,38,28.8,20
584,37,2011-01-04,26.005,MIA,MIL,W,36.35,8,15,0.533,0,0,,9,11,0.818,1,5,6,9,0,2,2,25,24.0,10
585,38,2011-01-07,26.008,MIA,MIL,W,45.16,8,23,0.348,1,4,0.25,9,11,0.818,1,9,10,5,6,1,5,26,20.1,7
586,39,2011-01-09,26.01,MIA,POR,W,46.11,17,26,0.654,3,5,0.6,7,10,0.7,3,10,13,6,2,0,6,44,35.1,5
587,40,2011-01-12,26.013,MIA,LAC,L,39.44,11,24,0.458,3,6,0.5,2,5,0.4,2,6,8,6,0,0,3,27,17.4,-3
588,41,2011-01-18,26.019,MIA,ATL,L,44.17,11,30,0.367,2,10,0.2,10,11,0.909,2,8,10,7,2,0,6,34,20.5,-5
589,42,2011-01-22,26.023,MIA,TOR,W,38.0,14,29,0.483,1,3,0.333,9,14,0.643,1,10,11,6,2,1,1,38,30.1,13
590,43,2011-01-27,26.028,MIA,NYK,L,42.32,7,24,0.292,0,2,0.0,10,12,0.833,2,9,11,5,2,2,4,24,15.0,5
591,44,2011-01-28,26.029,MIA,DET,W,44.19,15,25,0.6,2,4,0.5,7,10,0.7,0,8,8,9,1,2,3,39,34.0,4
592,45,2011-01-30,26.031,MIA,OKC,W,40.13,7,14,0.5,2,5,0.4,7,11,0.636,0,4,4,13,4,3,4,23,25.6,6
593,46,2011-01-31,26.032,MIA,CLE,W,31.22,7,14,0.5,0,0,,10,11,0.909,1,3,4,8,0,2,2,24,22.8,20
594,47,2011-02-03,26.035,MIA,ORL,W,42.39,17,25,0.68,3,5,0.6,14,17,0.824,2,9,11,8,1,1,3,51,46.7,2
595,48,2011-02-04,26.036,MIA,CHA,W,36.39,7,13,0.538,0,3,0.0,5,6,0.833,1,7,8,9,0,0,3,19,17.2,10
596,49,2011-02-06,26.038,MIA,LAC,W,35.37,6,15,0.4,0,2,0.0,0,2,0.0,1,5,6,4,4,0,6,12,5.3,15
597,50,2011-02-08,26.04,MIA,IND,W,41.44,15,23,0.652,2,5,0.4,9,13,0.692,3,10,13,8,3,1,4,41,39.3,18
598,51,2011-02-11,26.043,MIA,DET,W,34.43,7,17,0.412,0,2,0.0,2,3,0.667,0,8,8,10,4,0,3,16,16.9,15
599,52,2011-02-13,26.045,MIA,BOS,L,43.28,10,21,0.476,0,2,0.0,2,3,0.667,1,6,7,7,1,0,4,22,14.5,1
600,53,2011-02-15,26.047,MIA,IND,W,40.55,11,20,0.55,1,3,0.333,4,6,0.667,1,5,6,5,2,2,5,27,20.3,9
601,54,2011-02-16,26.048,MIA,TOR,W,37.38,8,18,0.444,0,2,0.0,7,10,0.7,3,10,13,8,0,0,5,23,17.7,6
602,55,2011-02-22,26.054,MIA,SAC,W,30.24,14,26,0.538,3,6,0.5,0,3,0.0,2,6,8,3,0,0,3,31,17.9,18
603,56,2011-02-24,26.056,MIA,CHI,L,41.26,12,21,0.571,0,4,0.0,5,6,0.833,0,10,10,5,2,1,2,29,25.5,3
604,57,2011-02-25,26.057,MIA,WAS,W,42.46,5,11,0.455,0,1,0.0,15,19,0.789,1,8,9,7,1,3,1,25,27.0,-4
605,58,2011-02-27,26.059,MIA,NYK,L,39.08,10,20,0.5,1,5,0.2,6,8,0.75,0,7,7,5,3,1,5,27,19.7,-3
606,59,2011-03-03,26.063,MIA,ORL,L,39.56,11,16,0.688,0,2,0.0,7,7,1.0,2,4,6,4,0,2,2,29,26.2,0
607,60,2011-03-04,26.064,MIA,SAS,L,36.08,11,19,0.579,1,3,0.333,3,7,0.429,3,5,8,7,1,0,4,26,20.2,-16
608,61,2011-03-06,26.066,MIA,CHI,L,41.5,10,18,0.556,1,2,0.5,5,6,0.833,3,5,8,6,2,0,2,26,24.0,-4
609,62,2011-03-08,26.068,MIA,POR,L,45.32,14,20,0.7,2,4,0.5,1,4,0.25,1,10,11,8,1,0,4,31,26.5,-2
610,63,2011-03-10,26.07,MIA,LAL,W,42.16,7,17,0.412,0,3,0.0,5,7,0.714,1,7,8,9,1,0,1,19,17.8,8
611,64,2011-03-12,26.072,MIA,MEM,W,31.55,10,16,0.625,2,4,0.5,5,6,0.833,1,4,5,5,1,2,3,27,23.8,17
612,65,2011-03-14,26.074,MIA,SAS,W,41.31,8,19,0.421,0,1,0.0,5,5,1.0,0,6,6,8,0,2,2,21,16.5,22
613,66,2011-03-16,26.076,MIA,OKC,L,39.3,8,21,0.381,0,3,0.0,3,3,1.0,0,8,8,3,1,1,1,19,12.7,-6
614,67,2011-03-18,26.078,MIA,ATL,W,30.54,16,21,0.762,5,7,0.714,6,7,0.857,0,2,2,3,0,0,4,43,32.2,23
615,68,2011-03-19,26.079,MIA,DEN,W,40.4,15,25,0.6,1,4,0.25,2,2,1.0,0,6,6,2,2,0,5,33,20.5,16
616,69,2011-03-23,26.083,MIA,DET,W,42.05,8,16,0.5,0,3,0.0,3,4,0.75,3,5,8,7,0,0,3,19,14.9,6
617,70,2011-03-25,26.085,MIA,PHI,W,41.01,11,17,0.647,1,4,0.25,9,9,1.0,2,8,10,2,3,1,4,32,28.2,17
618,71,2011-03-27,26.087,MIA,HOU,W,40.27,13,21,0.619,0,1,0.0,7,9,0.778,1,9,10,7,0,0,2,33,28.6,5
619,72,2011-03-29,26.089,MIA,CLE,L,43.17,10,21,0.476,1,5,0.2,6,10,0.6,0,10,10,12,0,0,3,27,21.9,-9
620,73,2011-03-30,26.09,MIA,WAS,W,43.49,12,16,0.75,1,3,0.333,10,13,0.769,1,7,8,8,5,0,5,35,34.6,20
621,74,2011-04-01,26.092,MIA,MIN,W,42.53,11,20,0.55,0,1,0.0,5,7,0.714,2,4,6,10,3,1,3,27,26.1,15
622,75,2011-04-03,26.094,MIA,NJN,W,38.55,13,18,0.722,0,2,0.0,5,8,0.625,2,9,11,7,3,0,7,31,26.6,13
623,76,2011-04-06,26.097,MIA,MIL,L,39.25,10,22,0.455,3,7,0.429,6,8,0.75,1,1,2,8,2,2,4,29,22.0,-10
624,77,2011-04-08,26.099,MIA,CHA,W,37.23,9,16,0.563,0,1,0.0,5,6,0.833,1,6,7,9,2,1,1,23,24.7,12
625,78,2011-04-10,26.101,MIA,BOS,W,37.11,11,19,0.579,0,2,0.0,5,9,0.556,0,5,5,7,4,1,4,27,23.2,24
626,79,2011-04-11,26.102,MIA,ATL,W,42.39,10,21,0.476,2,4,0.5,12,14,0.857,1,9,10,7,3,0,7,34,26.4,7
627,1,2011-12-25,26.36,MIA,DAL,W,36.16,11,19,0.579,0,0,,15,19,0.789,3,7,10,6,2,2,3,37,34.1,27
628,2,2011-12-27,26.362,MIA,BOS,W,36.0,9,14,0.643,0,0,,8,9,0.889,1,5,6,5,2,1,3,26,23.6,-7
629,3,2011-12-28,26.363,MIA,CHA,W,38.49,13,23,0.565,0,0,,9,9,1.0,0,6,6,7,3,2,2,35,33.2,5
630,4,2011-12-30,27.0,MIA,MIN,W,37.13,16,26,0.615,0,1,0.0,2,4,0.5,1,7,8,10,4,1,4,34,31.1,14
631,5,2012-01-01,27.002,MIA,CHA,W,28.02,6,10,0.6,0,0,,4,6,0.667,0,9,9,5,1,0,2,16,15.0,24
632,6,2012-01-02,27.003,MIA,ATL,L,38.33,11,18,0.611,0,0,,6,9,0.667,2,5,7,6,0,0,4,28,21.3,-1
633,7,2012-01-04,27.005,MIA,IND,W,37.41,12,21,0.571,0,0,,9,11,0.818,2,6,8,13,2,0,2,33,33.8,31
634,8,2012-01-07,27.008,MIA,NJN,W,37.23,11,17,0.647,0,1,0.0,10,12,0.833,0,7,7,9,2,1,8,32,26.0,7
635,9,2012-01-10,27.011,MIA,GSW,L,42.33,10,19,0.526,0,2,0.0,6,8,0.75,1,10,11,7,2,0,5,26,21.1,-5
636,10,2012-01-11,27.012,MIA,LAC,L,41.53,7,19,0.368,0,1,0.0,9,17,0.529,2,11,13,7,2,0,6,23,12.9,-9
637,11,2012-01-13,27.014,MIA,DEN,L,37.11,13,20,0.65,3,5,0.6,6,11,0.545,1,4,5,6,2,1,4,35,29.0,-16
638,12,2012-01-17,27.018,MIA,SAS,W,34.53,12,21,0.571,4,6,0.667,5,9,0.556,1,4,5,10,0,0,4,33,26.4,19
639,13,2012-01-19,27.02,MIA,LAL,W,37.13,12,27,0.444,2,3,0.667,5,7,0.714,3,5,8,8,4,3,3,31,26.8,0
640,14,2012-01-21,27.022,MIA,PHI,W,35.47,12,17,0.706,0,0,,4,4,1.0,0,9,9,5,4,3,4,28,28.8,9
641,15,2012-01-22,27.023,MIA,MIL,L,37.22,8,18,0.444,0,1,0.0,12,13,0.923,4,9,13,5,1,0,3,28,24.4,-4
642,16,2012-01-24,27.025,MIA,CLE,W,37.48,8,21,0.381,1,4,0.25,1,4,0.25,1,4,5,5,2,0,5,18,7.3,9
643,17,2012-01-25,27.026,MIA,DET,W,41.39,9,20,0.45,1,3,0.333,13,14,0.929,1,5,6,7,2,0,4,32,25.1,6
644,18,2012-01-27,27.028,MIA,NYK,W,40.17,11,18,0.611,0,2,0.0,9,10,0.9,1,7,8,7,0,0,4,31,25.3,4
645,19,2012-01-29,27.03,MIA,CHI,W,40.58,12,23,0.522,1,1,1.0,10,15,0.667,1,10,11,5,0,1,6,35,22.8,3
646,20,2012-01-30,27.031,MIA,NOH,W,29.44,8,12,0.667,1,2,0.5,5,7,0.714,4,7,11,8,1,0,4,22,23.1,29
647,21,2012-02-01,27.033,MIA,MIL,L,40.17,14,24,0.583,4,7,0.571,8,10,0.8,0,8,8,5,2,0,7,40,28.5,-6
648,22,2012-02-03,27.035,MIA,PHI,W,37.13,8,16,0.5,0,1,0.0,3,6,0.5,1,11,12,8,0,2,2,19,18.0,19
649,23,2012-02-05,27.037,MIA,TOR,W,38.29,10,17,0.588,0,1,0.0,10,12,0.833,0,9,9,2,1,0,5,30,21.0,11
650,24,2012-02-07,27.039,MIA,CLE,W,38.4,9,16,0.563,0,1,0.0,6,7,0.857,1,4,5,6,2,0,6,24,17.7,5
651,25,2012-02-08,27.04,MIA,ORL,L,39.15,5,15,0.333,0,2,0.0,7,10,0.7,0,6,6,10,3,0,3,17,16.1,-1
652,26,2012-02-10,27.042,MIA,WAS,W,33.17,6,14,0.429,0,2,0.0,6,7,0.857,0,2,2,9,0,2,1,18,17.1,14
653,27,2012-02-12,27.044,MIA,ATL,W,30.26,6,15,0.4,1,3,0.333,10,12,0.833,3,10,13,6,1,0,2,23,22.0,26
654,28,2012-02-13,27.045,MIA,MIL,W,32.54,16,21,0.762,0,0,,3,3,1.0,3,5,8,3,1,0,2,35,30.2,14
655,29,2012-02-14,27.046,MIA,IND,W,33.24,7,15,0.467,2,5,0.4,7,8,0.875,2,7,9,7,4,0,2,23,24.5,27
656,30,2012-02-17,27.049,MIA,CLE,W,30.08,11,19,0.579,3,5,0.6,3,3,1.0,2,3,5,5,1,1,2,28,23.8,27
657,31,2012-02-19,27.051,MIA,ORL,W,36.38,9,14,0.643,1,2,0.5,6,7,0.857,1,10,11,8,2,0,2,25,26.9,23
658,32,2012-02-21,27.053,MIA,SAC,W,33.13,7,11,0.636,2,2,1.0,2,2,1.0,0,4,4,8,0,2,3,18,17.9,7
659,33,2012-02-23,27.055,MIA,NYK,W,40.41,7,16,0.438,0,0,,6,6,1.0,1,8,9,8,5,2,4,20,21.5,12
660,34,2012-03-01,27.062,MIA,POR,W,41.02,13,22,0.591,2,2,1.0,10,12,0.833,2,9,11,6,5,1,0,38,40.6,8
661,35,2012-03-02,27.063,MIA,UTA,L,44.24,16,24,0.667,1,4,0.25,2,3,0.667,1,9,10,6,0,3,0,35,33.1,7
662,36,2012-03-04,27.065,MIA,LAL,L,43.02,12,26,0.462,0,4,0.0,1,3,0.333,7,6,13,7,3,2,3,25,23.4,-13
663,37,2012-03-06,27.067,MIA,NJN,W,29.36,9,11,0.818,1,1,1.0,2,2,1.0,1,8,9,6,0,0,5,21,19.2,20
664,38,2012-03-07,27.068,MIA,ATL,W,41.4,12,20,0.6,0,3,0.0,7,10,0.7,4,7,11,2,1,2,2,31,26.9,7
665,39,2012-03-10,27.071,MIA,IND,W,47.06,8,19,0.421,2,3,0.667,9,15,0.6,1,7,8,4,4,1,4,27,20.4,3
666,40,2012-03-13,27.074,MIA,ORL,L,42.25,7,20,0.35,2,4,0.5,3,3,1.0,3,8,11,8,1,1,6,19,13.6,0
667,41,2012-03-14,27.075,MIA,CHI,L,39.38,14,25,0.56,2,3,0.667,5,5,1.0,1,4,5,4,4,0,2,35,29.0,5
668,42,2012-03-16,27.077,MIA,PHI,W,38.15,12,20,0.6,0,2,0.0,5,8,0.625,2,5,7,8,2,2,1,29,29.5,10
669,43,2012-03-18,27.079,MIA,ORL,W,38.58,4,14,0.286,0,1,0.0,6,8,0.75,0,12,12,7,5,0,4,14,12.9,13
670,44,2012-03-20,27.081,MIA,PHO,W,37.54,8,18,0.444,0,3,0.0,4,6,0.667,1,7,8,6,2,2,3,20,16.4,15
671,45,2012-03-23,27.084,MIA,DET,W,37.26,6,15,0.4,0,3,0.0,5,5,1.0,0,6,6,10,4,1,5,17,17.4,8
672,46,2012-03-25,27.086,MIA,OKC,L,39.36,8,18,0.444,0,3,0.0,1,1,1.0,0,3,3,7,2,0,4,17,10.6,-10
673,47,2012-03-26,27.087,MIA,IND,L,40.49,9,21,0.429,2,4,0.5,4,6,0.667,2,7,9,2,1,0,6,24,11.6,-14
674,48,2012-03-29,27.09,MIA,DAL,W,36.13,8,16,0.5,0,2,0.0,3,3,1.0,3,6,9,5,2,0,3,19,16.2,9
